"광물자원가격_유연탄_주간 * 가격기준 : FOB Kalimantan 5,900kcal/kg GAR | USD / ton",,
2025-11-21,,
기준일,기준가격,USD/ton
20251110,81.15,
20251103,79.92,
20251027,78.85,
20251020,77.56,
20251013,76.78,
20251006,77.01,
20250929,77.05,
20250922,76.6,
20250915,76.3,
20250908,75.5,
20250901,75.1,
20250825,75.25,
20250818,75.05,
20250811,74.2,
20250804,73.15,
20250728,72.02,
20250721,71.4,
20250714,71.34,
20250707,71.1,
20250630,71.7,
20250623,72.6,
20250616,73.4,
20250609,75,
20250602,76.05,
20250526,77,
20250519,78.85,
20250512,79.56,
20250505,79.94,
20250428,80.56,
20250421,80.94,
20250414,81.88,
20250407,82.9,
20250331,83.5,
20250324,84.2,
20250317,84.75,
20250310,85.4,
20250303,84.68,
20250224,85.1,
20250217,85.99,
20250210,86.78,
20250203,87.45,
20250127,88.33,
20250120,89,
20250113,89.95,
20250106,91,
20241230,91.6,
20241223,92.27,
20241216,92.85,
20241209,93.55,
20241202,94.22,
20241125,94.11,
20241118,93.8,
20241111,93.11,
20241104,93.34,
20241028,93.74,
20241021,93.7,
20241014,93.32,
20241007,93.15,
20240930,92.21,
20240923,92.16,
20240916,91.99,
20240909,91.63,
20240902,91.88,
20240826,92.1,
20240819,92.58,
20240812,91.45,
20240805,90.69,
20240729,91.06,
20240722,91.3,
20240715,90.8,
20240708,91.54,
20240701,92.28,
20240624,92.96,
20240617,93.1,
20240610,93.81,
20240603,94.71,
20240527,95.85,
20240520,94,
20240513,91.99,
20240506,90.6,
20240429,89.6,
20240422,89.26,
20240415,89.85,
20240408,90.6,
20240401,91.72,
20240325,92.45,
20240318,93.26,
20240311,93.88,
20240304,93.79,
20240226,93.18,
20240219,92.68,
20240212,93.15,
20240205,92.86,
20240129,92.17,
20240122,92.64,
20240115,92.58,
20240108,92.38,
20240101,92.9,
20231225,92.6,
20231218,91.82,
20231211,91.09,
20231204,91.65,
20231127,92.38,
20231120,92.24,
20231113,92.62,
20231106,95,
20231030,98,
20231023,98.78,
20231016,98.02,
20231009,96.35,
20231002,94.45,
20230925,92.42,
20230918,91.01,
20230911,88.25,
20230904,87.02,
20230828,87.33,
20230821,87.78,
20230814,88.05,
20230807,87.88,
20230731,90.12,
20230724,88.56,
20230717,88.35,
20230710,89.44,
20230703,88.55,
20230626,87.88,
20230619,91.02,
20230612,92.9,
20230605,95.9,
20230529,99.67,
20230522,106,
20230515,112.5,
20230508,117.88,
20230501,118.56,
20230424,118.5,
20230417,117.98,
20230410,119.91,
20230403,119.75,
20230327,119.2,
20230320,119.2,
20230313,120.5,
20230306,124.8,
20230227,132.7,
20230220,132.92,
20230213,133.8,
20230206,136.6,
20230130,138.5,
20230123,141.33,
20230116,143.58,
20230109,146.2,
20230102,151,
